Area,Bedrooms,Bathrooms,Floors,Age,Parking,Distance_City,Price
1197,1,3,3,26,2,5.42,395238.73
1951,2,4,3,15,3,16.97,614588.49
3726,4,4,2,10,2,5.91,1088990.27
3550,5,4,1,34,0,16.19,1000554.79
3950,1,1,2,8,1,2.97,1066878.85
1218,1,2,3,29,2,2.75,373855.83
2579,4,1,1,34,3,1.34,732180.49
2768,3,3,1,32,3,24.38,765270.36
994,5,2,1,12,2,24.64,341267.32
1694,4,1,2,25,3,17.39,524237.9
3401,1,1,1,25,3,11.94,900241.75
2549,1,1,3,10,0,15.5,666457.64
2917,1,1,1,13,3,8.86,809000.2
904,3,1,1,20,0,28.88,229396.38
3519,4,1,2,10,1,17.43,958144.5
2193,5,3,2,8,0,15.52,684168.89
2390,2,1,2,25,2,1.86,689549.47
1719,4,4,1,22,3,13.52,550721.86
951,5,3,1,4,0,8.77,361288.48
2156,2,4,2,23,0,3.65,668412.02
3718,3,1,1,5,1,13.5,1006542.71
2881,5,4,1,1,0,11.26,889087.08
1928,4,1,2,26,3,23.6,566778.64
3568,5,2,3,33,1,20.87,994877.12
1699,4,2,1,10,3,9.0,563635.91
1827,4,1,2,16,1,21.91,510810.0
2475,1,2,2,0,3,10.63,715722.78
3140,4,3,2,21,3,24.65,910241.28
1157,3,3,3,12,3,10.11,394832.33
2231,3,3,3,31,1,10.45,659741.58
2095,1,2,3,34,1,20.77,586083.96
2853,1,4,3,13,3,24.13,799000.82
3859,4,4,1,19,1,8.33,1093870.74
1231,4,4,1,28,3,17.89,388604.79
3433,4,1,2,34,0,4.17,947937.92
1616,3,2,3,2,3,29.04,477475.97
1033,1,1,2,14,1,13.93,333140.36
2202,4,2,2,1,3,4.03,674423.08
1075,2,3,2,21,3,23.74,359803.57
2734,4,3,2,6,3,21.94,797903.94
783,1,1,2,6,1,27.97,221071.6
3633,2,2,3,10,2,17.24,1006676.0
2259,2,2,3,27,3,1.85,679013.73
3115,2,4,3,27,3,1.13,924283.13
3482,1,1,3,11,2,10.45,959295.65
2474,1,3,3,31,2,18.31,666559.45
2025,3,4,3,11,2,27.64,593408.4
3017,1,2,2,7,1,9.86,843720.08
2692,4,4,3,8,3,13.27,853679.95
2593,5,2,3,10,3,9.38,817893.97
3137,1,3,1,31,1,6.66,881293.3
2172,5,4,2,31,3,21.59,659608.59
2915,1,2,2,2,2,7.52,828285.68
1782,2,4,3,31,0,17.61,523469.18
2102,5,1,3,28,1,29.7,611706.16
1019,2,3,1,28,2,11.11,344341.33
1080,2,2,3,22,3,5.81,366942.22
1170,2,2,1,22,2,18.31,371383.09
1798,3,3,3,6,1,28.92,569130.77
3818,4,1,2,8,1,8.24,1063934.52
3718,4,4,1,17,3,11.88,1041157.58
909,1,4,3,17,2,14.19,305719.88
3770,1,4,3,22,0,24.07,1001011.78
2229,2,4,1,31,2,10.36,647493.42
1134,5,4,2,3,0,3.89,478540.98
3810,4,1,1,10,3,14.24,1071729.07
3420,2,3,1,17,0,19.98,912937.54
1625,1,3,3,10,0,12.49,483076.54
1559,4,1,3,6,0,7.19,534233.01
919,2,2,3,28,0,1.23,325257.14
2329,2,4,1,14,3,3.59,721002.59
3901,1,1,2,23,2,4.98,1050785.18
1145,2,1,3,0,1,13.76,349031.21
3559,2,2,2,28,1,3.51,1002009.9
3014,4,3,2,20,1,8.19,897817.06
3240,1,2,3,18,0,25.59,835907.01
2720,5,2,3,25,2,19.74,782486.67
3810,2,4,2,7,1,15.49,1042197.39
649,3,3,1,24,3,11.6,258416.85
3397,2,4,1,1,0,1.4,988097.2
3832,4,3,3,32,3,13.28,1117148.2
2247,1,2,2,5,2,3.29,701710.08
1236,5,3,2,4,2,21.26,421901.14
3589,2,1,1,5,3,4.36,996008.19
3328,2,1,1,8,0,5.75,907152.26
2020,5,3,1,23,1,22.74,619517.86
1083,1,3,2,17,0,8.63,333473.62
2961,1,4,2,32,2,2.61,851674.63
1244,3,1,3,7,1,22.48,378492.69
610,1,1,1,2,3,11.56,233061.1
744,5,4,1,20,1,13.07,317798.72
3550,3,3,1,23,0,15.56,974596.85
3894,5,1,2,4,3,26.11,1070175.07
3768,3,3,1,35,3,1.23,1070318.37
1844,5,2,2,23,3,29.94,566851.62
3778,2,2,1,0,3,1.69,1049673.71
3440,1,3,1,24,2,4.01,943871.75
2770,2,4,2,3,1,21.64,813905.55
2728,4,3,2,5,0,15.66,819011.48
3210,4,1,3,3,3,20.21,921762.11
1890,4,3,2,28,2,7.77,610993.84
1430,2,1,1,6,1,14.04,420020.44
2067,2,4,2,29,2,25.72,589351.73
970,2,3,3,2,1,25.24,320519.46
1616,3,4,3,3,2,8.54,564742.26
1312,1,4,2,35,1,3.75,443500.66
1097,1,1,1,8,1,24.89,311750.18
2124,1,3,1,1,0,6.73,605672.48
976,3,1,1,29,0,5.87,296544.89
2950,4,4,2,1,3,20.81,881437.36
1366,3,3,2,9,0,18.81,442601.43
3127,2,3,2,26,3,2.77,899909.07
1416,5,2,3,34,0,29.69,430183.01
3802,3,4,3,31,2,27.47,1018052.52
1336,1,3,3,14,0,26.98,378726.34
3788,3,1,2,33,2,23.24,1034721.45
1010,2,2,2,34,0,23.16,283899.62
1498,5,4,2,11,1,7.86,529774.67
2069,5,1,3,22,1,17.33,643471.77
1371,4,3,1,31,0,3.62,460948.63
2756,4,1,2,12,1,10.88,805478.63
1326,3,1,1,9,1,23.46,402717.86
897,3,4,3,6,2,9.75,349000.53
1158,2,4,3,31,2,6.05,433101.64
3113,3,2,3,11,3,9.9,900098.23
3420,3,2,1,0,3,25.67,938359.54
1345,5,3,3,14,0,28.16,418995.49
1176,3,1,1,22,2,5.87,391383.88
3503,3,4,1,16,1,8.24,993483.67
877,3,3,1,0,0,12.19,323455.22
2295,4,4,2,34,3,3.94,685980.59
2563,5,2,1,28,0,24.18,715054.77
1669,1,1,2,10,3,5.67,505704.6
907,5,1,2,30,0,13.51,307301.91
2378,2,1,1,21,1,29.26,591586.48
2276,5,3,3,18,2,7.89,748668.31
2610,2,1,2,0,3,3.54,775644.28
3974,5,4,1,6,0,7.0,1124969.48
2539,1,3,2,30,3,26.95,643919.27
1685,1,4,1,23,3,11.71,499222.73
2504,3,2,2,3,1,22.81,711193.35
3333,1,1,3,22,3,29.15,843472.09
2185,5,4,3,30,1,14.81,675044.57
923,4,1,3,33,1,4.49,342242.3
1284,2,2,1,2,3,3.27,431792.57
3398,4,2,3,9,2,10.27,981822.06
956,4,4,3,20,2,16.07,347883.43
650,5,4,1,26,1,5.3,291329.82
1010,1,1,2,34,2,26.46,247481.54
1681,4,4,3,30,0,5.99,543208.18
3388,4,1,2,21,1,2.43,977943.99
2546,3,3,1,21,2,10.02,759882.36
3405,1,2,1,19,3,23.45,865778.96
1914,3,4,3,5,1,13.81,625600.31
2584,5,3,1,32,1,2.9,777012.24
3506,5,4,1,33,0,6.04,1019808.18
836,2,1,2,3,2,21.43,265632.93
1722,3,4,3,25,0,20.75,524004.81
2427,2,4,3,35,2,10.98,729154.01
1659,1,3,1,24,0,5.72,452956.48
1506,2,2,2,26,0,26.07,390896.57
3743,1,4,1,11,0,7.49,1000223.21
3519,3,4,2,22,3,8.31,993577.52
2511,3,4,3,6,0,15.83,734663.43
2132,5,3,2,6,3,2.85,690865.36
1732,3,3,2,19,1,5.35,558647.68
3899,5,4,3,20,1,21.92,1072934.28
3284,4,3,2,26,3,12.26,969911.2
2943,2,3,3,14,3,27.29,818105.78
3351,3,3,1,35,1,9.52,903211.18
3570,5,2,3,21,0,7.45,1032475.66
1514,3,4,2,23,2,17.98,476534.37
819,5,1,2,12,0,26.16,283245.16
2163,5,3,2,3,1,4.98,713328.15
2932,4,2,2,11,0,15.14,849894.57
3184,2,3,3,3,0,14.11,904551.32
2960,2,4,1,8,3,19.37,863389.91
2252,4,4,2,0,0,16.48,691348.1
1919,5,2,1,0,1,7.56,587396.22
2010,3,2,1,24,2,5.84,610949.03
1791,4,3,2,8,2,29.89,528536.16
2607,3,2,1,25,0,7.62,736062.66
3606,1,2,1,23,0,11.88,940226.09
3222,3,1,3,3,0,19.95,906697.95
2307,4,4,1,35,2,14.76,689189.36
1227,2,1,2,26,0,20.21,338263.28
1161,4,1,3,7,2,4.31,451476.53
1035,4,2,3,12,2,25.11,369093.95
2278,3,2,1,35,3,27.4,612126.57
3418,4,3,1,0,0,20.48,981047.65
3340,4,2,1,32,0,21.98,877517.95
1014,3,2,2,18,2,14.46,355676.7
761,3,3,3,20,3,22.42,294654.67
989,1,1,1,10,2,11.37,287488.62
3602,1,3,2,11,0,12.62,984028.87
2469,3,4,3,30,3,19.82,727834.44
3451,1,2,1,26,3,24.27,886644.18
3378,4,2,3,24,2,18.73,966144.9
3578,2,4,2,7,3,13.78,992273.81
859,3,3,1,33,1,29.36,250071.17
2742,5,1,2,15,3,11.03,803485.83
